origin,destination,4_7,7_10,10_13,13_16,16_19,19_22,origin_id,destination_id
2001_transmilenio-troncal,3007_transmilenio-troncal,22.51666666666667,20.816666666666666,23.883333333333333,23.883333333333333,22.48333333333333,23.78333333333333,2001,3007
2001_transmilenio-troncal,3001_transmilenio-troncal,25.916666666666668,24.15,32.766666666666666,32.766666666666666,30.999999999999996,32.4,2001,3001
2001_transmilenio-troncal,3006_transmilenio-troncal,24.883333333333336,22.983333333333334,28.73333333333333,28.73333333333333,23.116666666666664,24.416666666666664,2001,3006
2001_transmilenio-troncal,3000_transmilenio-troncal,31.416666666666668,29.65,36.15,36.15,34.383333333333326,36.05,2001,3000
2001_transmilenio-troncal,3010_transmilenio-troncal,20.71666666666667,18.816666666666666,20.45,20.45,19.049999999999997,20.349999999999998,2001,3010
2001_transmilenio-troncal,3013_transmilenio-troncal,16.85,14.95,17.01666666666667,17.01666666666667,16.75,18.05,2001,3013
2001_transmilenio-troncal,3014_transmilenio-troncal,17.116666666666667,15.283333333333333,15.483333333333334,15.483333333333334,15.216666666666665,16.516666666666666,2001,3014
2001_transmilenio-troncal,3009_transmilenio-troncal,20.783333333333335,19.083333333333332,22.15,22.15,20.749999999999996,22.049999999999997,2001,3009
2001_transmilenio-troncal,3002_transmilenio-troncal,24.21666666666667,22.45,31.066666666666666,31.066666666666666,29.299999999999997,30.699999999999996,2001,3002
2001_transmilenio-troncal,3005_transmilenio-troncal,25.366666666666667,23.9,26.966666666666665,26.966666666666665,24.88333333333333,26.18333333333333,2001,3005
2001_transmilenio-troncal,3011_transmilenio-troncal,19.916666666666668,18.016666666666666,20.083333333333336,20.083333333333336,19.816666666666666,21.116666666666667,2001,3011
2001_transmilenio-troncal,3012_transmilenio-troncal,18.400000000000002,16.5,18.56666666666667,18.56666666666667,18.3,19.6,2001,3012
2001_transmilenio-troncal,4104_transmilenio-troncal,19.116666666666664,18.049999999999997,18.049999999999997,18.049999999999997,17.78333333333333,18.03333333333333,2001,4104
2001_transmilenio-troncal,4003_transmilenio-troncal,23.466666666666665,21.566666666666666,23.849999999999994,23.849999999999994,23.38333333333333,23.83333333333333,2001,4003
